htid	HTRecord	WWEnd ID	ISFDB ID	Title	Author	Year
mdp.49015000303835	4412272	1940	33433	The Year's Best Science Fiction: Fourth Annual Collection	Gardner Dozois	1987
mdp.49015002156900	4412272	1941	33432	The Year's Best Science Fiction: Fifth Annual Collection	Gardner Dozois	1988
mdp.49015002156926	4412272	1942	33431	The Year's Best Science Fiction: Sixth Annual Collection	Gardner Dozois	1989
mdp.49015002156934	4412272	1943	33430	The Year's Best Science Fiction: Seventh Annual Collection	Gardner Dozois	1990
mdp.49015002156918	4412272	1944	33429	The Year's Best Science Fiction: Eighth Annual Collection	Gardner Dozois	1991
mdp.49015002156942	4412272	1945	33428	The Year's Best Science Fiction: Ninth Annual Collection	Gardner Dozois	1992
mdp.49015002156959	4412272	1946	33427	The Year's Best Science Fiction: Tenth Annual Collection	Gardner Dozois	1993
mdp.49015002271352	4412272	1948	33425	The Year's Best Science Fiction: Twelth Annual Collection	Gardner Dozois	1995
uc1.32106013246852	75690	1949	34322	The Year's Best Science Fiction: Thirteenth Annual Collection	Gardner Dozois	1996
uc1.32106014789066	75690	1950	34323	The Year's Best Science Fiction: Fourteenth Annual Collection	Gardner Dozois	1997
uc1.32106014833872	75690	1951	34324	The Year's Best Science Fiction: Fifteenth Annual Collection	Gardner Dozois	1998
uc1.32106015630087	75690	1953	34326	The Year's Best Science Fiction: Seventeenth Annual Collection	Gardner Dozois	2000
uc1.32106015400788	75690	1954	34327	The Year's Best Science Fiction: Eighteenth Annual Collection	Gardner Dozois	2001
mdp.49015002831528	4412272	1955	34328	The Year's Best Science Fiction: Nineteenth Annual Collection	Gardner Dozois	2002
mdp.49015002944313	4412272	1956	34329	The Year's Best Science Fiction: Twentieth Annual Collection	Gardner Dozois	2003
mdp.49015003020238	4412272	1957	152105	The Year's Best Science Fiction: Twenty-First Annual Collection	Gardner Dozois	2004
mdp.39015080861803	6803270	1968	197593	Best of the Best Volume 2: 20 Years of the Year's Best Short Science Fiction Novels	Gardner Dozois	2007
inu.30000011372871	7593850	2047	33483	Dangerous Visions	Harlan Ellison	1967
mdp.39015000353535	1421311	2047	33483	Dangerous Visions	Harlan Ellison	1967
mdp.39015000656127	701745	2047	33483	Dangerous Visions	Harlan Ellison	1967
pst.000012691142	7497989	2047	33483	Dangerous Visions	Harlan Ellison	1967
mdp.39015005790855	1026923	2048	33484	Again, Dangerous Visions	Harlan Ellison	1972
pst.000012570997	7491879	2060	34117	Partners in Wonder	Harlan Ellison	1971
mdp.39015030928876	1441842	2069	36250	Adventures in Time and Space	Raymond J. Healy & J. Francis McComas	1946
mdp.39015053247501	1441841	2069	36250	Adventures in Time and Space	Raymond J. Healy & J. Francis McComas	1946
uc1.b4562654	1441841	2069	36250	Adventures in Time and Space	Raymond J. Healy & J. Francis McComas	1946
mdp.39015002985573	1026929	2147	33473	The Science Fiction Hall of Fame, Volume One	Robert Silverberg	1970
pst.000012728084	7039884	2147	33473	The Science Fiction Hall of Fame, Volume One	Robert Silverberg	1970
uc1.32106001693032	5835778	2281	34091	The Astounding Science Fiction Anthology	John W. Campbell, Jr.	1952
mdp.39015004708593	1441724	2283	34589	The Best of Science Fiction	Groff Conklin	1946
osu.32435061284014	100825290	2283	34589	The Best of Science Fiction	Groff Conklin	1946
uc1.$b348189	1441724	2283	34589	The Best of Science Fiction	Groff Conklin	1946
uc1.b3541070	1441724	2283	34589	The Best of Science Fiction	Groff Conklin	1946
mdp.39015014689684	3786131	3051	1479	Needle	Hal Clement	1950
pst.000004769972	7031704	3051	1479	Needle	Hal Clement	1950
pst.000021753299	7067155	4444	1640	The Legacy of Heorot	Steven Barnes & Larry Niven & Jerry Pournelle	1987
mdp.39015002306564	1026929	4470	26790	The Science Fiction Hall of Fame, Volume Two A	Ben Bova	1973
pst.000012384730	7039884	4470	26790	The Science Fiction Hall of Fame, Volume Two A	Ben Bova	1973
mdp.39015069174541	5571864	4586	27532	Books of Blood: Vols. I-III	Clive Barker	1985
mdp.39015073907233	5670037	4586	27532	Books of Blood: Vols. I-III	Clive Barker	1985
mdp.49015000664038	4448616	4598	33399	The Year's Best Fantasy: First Annual Collection	Ellen Datlow & Terri Windling	1988
