htid	HTRecord	WWEnd ID	ISFDB ID	Title	Author	Year
mdp.39015011054155	205623	1	2122	The Demolished Man	Alfred Bester	1952
mdp.39015012120492	100071279	1	2122	The Demolished Man	Alfred Bester	1952
mdp.39015023453395	280721	1	2122	The Demolished Man	Alfred Bester	1952
uc1.32106002161526	7114966	1	2122	The Demolished Man	Alfred Bester	1952
uc1.32106014483108	7133587	4	7666	The Big Time	Fritz Leiber	1958
mdp.39015013534014	471103	5	2276	A Case of Conscience	James Blish	1958
mdp.39015038900125	431059	5	2276	A Case of Conscience	James Blish	1958
uc1.32106012870439	7132696	5	2276	A Case of Conscience	James Blish	1958
mdp.39015038922574	241723	6	1112	Starship Troopers	Robert A. Heinlein	1959
pst.000066152552	12281116	6	1112	Starship Troopers	Robert A. Heinlein	1959
uc1.32106011196133	1291173	6	1112	Starship Troopers	Robert A. Heinlein	1959
mdp.39015000611528	1418330	7	2283	A Canticle for Leibowitz	Walter M. Miller, Jr.	1959
pst.000013669980	12274972	7	2283	A Canticle for Leibowitz	Walter M. Miller, Jr.	1959
pst.000028922933	12275405	7	2283	A Canticle for Leibowitz	Walter M. Miller, Jr.	1959
mdp.39015003922005	434734	8	1095	Stranger in a Strange Land	Robert A. Heinlein	1961
mdp.39015008817374	249993	8	1095	Stranger in a Strange Land	Robert A. Heinlein	1961
mdp.39015020677434	687365	9	1574	The Man in the High Castle	Philip K. Dick	1962
mdp.39015079288901	259268	9	1574	The Man in the High Castle	Philip K. Dick	1962
mdp.39015020680917	1185693	10	6698	Way Station	Clifford D. Simak	1963
uc1.32106012732845	7132673	10	6698	Way Station	Clifford D. Simak	1963
mdp.39015003899278	30709	11	901	The Wanderer	Fritz Leiber	1964
mdp.49015000995796	4482267	11	901	The Wanderer	Fritz Leiber	1964
pst.000003801734	7491678	11	901	The Wanderer	Fritz Leiber	1964
mdp.39015000363344	682471	12	2493	This Immortal	Roger Zelazny	1966
mdp.39015012178250	123750	12	2493	This Immortal	Roger Zelazny	1966
